database_name,schema_name,table_name,column_name,column_id,glossary_name,category_name,term_name,business_term_id
graph-on-databricks,graph-enriched-schema,gold_accounts,account_id,graph_on_databricks.graph_enriched_schema.gold_accounts.account_id,finance_investigation,investigation_signals,shared_identity,shared_identity
graph-on-databricks,graph-enriched-schema,gold_accounts,identity_cluster_id,graph_on_databricks.graph_enriched_schema.gold_accounts.identity_cluster_id,finance_investigation,investigation_signals,shared_identity,shared_identity
graph-on-databricks,graph-enriched-schema,gold_accounts,identity_cluster_size,graph_on_databricks.graph_enriched_schema.gold_accounts.identity_cluster_size,finance_investigation,investigation_signals,shared_identity,shared_identity
graph-on-databricks,graph-enriched-schema,gold_accounts,shared_phone_count,graph_on_databricks.graph_enriched_schema.gold_accounts.shared_phone_count,finance_investigation,investigation_signals,shared_identity,shared_identity
graph-on-databricks,graph-enriched-schema,gold_accounts,shared_address_count,graph_on_databricks.graph_enriched_schema.gold_accounts.shared_address_count,finance_investigation,investigation_signals,shared_identity,shared_identity
graph-on-databricks,graph-enriched-schema,gold_accounts,account_id,graph_on_databricks.graph_enriched_schema.gold_accounts.account_id,finance_investigation,investigation_signals,kyc_review_candidate,kyc_review_candidate
graph-on-databricks,graph-enriched-schema,gold_accounts,identity_cluster_id,graph_on_databricks.graph_enriched_schema.gold_accounts.identity_cluster_id,finance_investigation,investigation_signals,kyc_review_candidate,kyc_review_candidate
graph-on-databricks,graph-enriched-schema,gold_accounts,identity_cluster_size,graph_on_databricks.graph_enriched_schema.gold_accounts.identity_cluster_size,finance_investigation,investigation_signals,kyc_review_candidate,kyc_review_candidate
graph-on-databricks,graph-enriched-schema,account_links,link_id,graph_on_databricks.graph_enriched_schema.account_links.link_id,finance_investigation,investigation_signals,transfer_exposure,transfer_exposure
graph-on-databricks,graph-enriched-schema,account_links,src_account_id,graph_on_databricks.graph_enriched_schema.account_links.src_account_id,finance_investigation,investigation_signals,transfer_exposure,transfer_exposure
graph-on-databricks,graph-enriched-schema,account_links,dst_account_id,graph_on_databricks.graph_enriched_schema.account_links.dst_account_id,finance_investigation,investigation_signals,transfer_exposure,transfer_exposure
graph-on-databricks,graph-enriched-schema,account_links,amount,graph_on_databricks.graph_enriched_schema.account_links.amount,finance_investigation,investigation_signals,transfer_exposure,transfer_exposure
graph-on-databricks,graph-enriched-schema,account_links,transfer_timestamp,graph_on_databricks.graph_enriched_schema.account_links.transfer_timestamp,finance_investigation,investigation_signals,transfer_exposure,transfer_exposure
graph-on-databricks,graph-enriched-schema,gold_accounts,account_id,graph_on_databricks.graph_enriched_schema.gold_accounts.account_id,finance_investigation,investigation_signals,fraud_ring_candidate,fraud_ring_candidate
graph-on-databricks,graph-enriched-schema,gold_accounts,community_id,graph_on_databricks.graph_enriched_schema.gold_accounts.community_id,finance_investigation,investigation_signals,fraud_ring_candidate,fraud_ring_candidate
graph-on-databricks,graph-enriched-schema,gold_accounts,risk_score,graph_on_databricks.graph_enriched_schema.gold_accounts.risk_score,finance_investigation,investigation_signals,fraud_ring_candidate,fraud_ring_candidate
graph-on-databricks,graph-enriched-schema,gold_accounts,is_ring_community,graph_on_databricks.graph_enriched_schema.gold_accounts.is_ring_community,finance_investigation,investigation_signals,fraud_ring_candidate,fraud_ring_candidate
graph-on-databricks,graph-enriched-schema,gold_fraud_ring_communities,is_ring_candidate,graph_on_databricks.graph_enriched_schema.gold_fraud_ring_communities.is_ring_candidate,finance_investigation,investigation_signals,fraud_ring_candidate,fraud_ring_candidate
graph-on-databricks,graph-enriched-schema,gold_accounts,account_id,graph_on_databricks.graph_enriched_schema.gold_accounts.account_id,finance_investigation,investigation_signals,high_risk,high_risk
graph-on-databricks,graph-enriched-schema,gold_accounts,fraud_risk_tier,graph_on_databricks.graph_enriched_schema.gold_accounts.fraud_risk_tier,finance_investigation,investigation_signals,high_risk,high_risk
graph-on-databricks,graph-enriched-schema,gold_accounts,is_ring_community,graph_on_databricks.graph_enriched_schema.gold_accounts.is_ring_community,finance_investigation,investigation_signals,high_risk,high_risk
graph-on-databricks,graph-enriched-schema,gold_accounts,community_id,graph_on_databricks.graph_enriched_schema.gold_accounts.community_id,finance_investigation,investigation_signals,high_risk,high_risk
graph-on-databricks,graph-enriched-schema,gold_accounts,risk_score,graph_on_databricks.graph_enriched_schema.gold_accounts.risk_score,finance_investigation,investigation_signals,high_risk,high_risk
